"filename", "language", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\selva\Desktop\react learn\Movie\App.js", "JavaScript", 8, 0, 0, 3, 3, 14
"c:\Users\selva\Desktop\react learn\Movie\README.md", "Markdown", 0, 1, 0, 0, 1, 2
"c:\Users\selva\Desktop\react learn\Movie\api\moviedb.js", "JavaScript", 58, 0, 0, 3, 17, 78
"c:\Users\selva\Desktop\react learn\Movie\app.json", "JSON", 0, 0, 16, 23, 0, 39
"c:\Users\selva\Desktop\react learn\Movie\babel.config.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\selva\Desktop\react learn\Movie\components\cast.js", "JavaScript", 44, 0, 0, 1, 2, 47
"c:\Users\selva\Desktop\react learn\Movie\components\loading.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\selva\Desktop\react learn\Movie\components\movieList.js", "JavaScript", 50, 0, 0, 1, 5, 56
"c:\Users\selva\Desktop\react learn\Movie\components\topRated.js", "JavaScript", 9, 0, 0, 0, 1, 10
"c:\Users\selva\Desktop\react learn\Movie\components\trendingMovies.js", "JavaScript", 41, 0, 0, 1, 2, 44
"c:\Users\selva\Desktop\react learn\Movie\constants\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\selva\Desktop\react learn\Movie\eas.json", "JSON", 0, 0, 18, 0, 1, 19
"c:\Users\selva\Desktop\react learn\Movie\navigation.js", "JavaScript", 21, 0, 0, 0, 3, 24
"c:\Users\selva\Desktop\react learn\Movie\package-lock.json", "JSON", 0, 0, 14636, 0, 1, 14637
"c:\Users\selva\Desktop\react learn\Movie\package.json", "JSON", 0, 0, 33, 0, 1, 34
"c:\Users\selva\Desktop\react learn\Movie\screens\HomeScreen.js", "JavaScript", 77, 0, 0, 0, 11, 88
"c:\Users\selva\Desktop\react learn\Movie\screens\MovieScreen.js", "JavaScript", 117, 0, 0, 6, 12, 135
"c:\Users\selva\Desktop\react learn\Movie\screens\PersonScreen.js", "JavaScript", 112, 0, 0, 1, 8, 121
"c:\Users\selva\Desktop\react learn\Movie\screens\Search.js", "JavaScript", 103, 0, 0, 6, 9, 118
"c:\Users\selva\Desktop\react learn\Movie\tailwind.config.js", "JavaScript", 8, 0, 0, 1, 2, 11
"c:\Users\selva\Desktop\react learn\Movie\theme\index.js", "JavaScript", 8, 0, 0, 0, 1, 9
"Total", "-", 676, 1, 14703, 46, 83, 15509